Lat, Lng, Date, t (s), Pressure (mBar), Temperature (°C), Relative Humidity (%), Light Intensity (Lux)
-180.00000, -180.00000, 02/01/2023 20:59:44.316, 57.000, 1016.377808, 19.620001, 23.407492, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:45.316, 58.000, 1016.378235, 19.620001, 23.407686, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:46.316, 59.000, 1016.405518, 19.610001, 23.407875, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:47.316, 60.000, 1016.399048, 19.600000, 23.408197, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:48.316, 61.000, 1016.403015, 19.590000, 23.408262, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:49.316, 62.000, 1016.383301, 19.580000, 23.408585, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:50.316, 63.000, 1016.412598, 19.570000, 23.408842, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:51.316, 64.000, 1016.398071, 19.559999, 23.409035, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:52.316, 65.000, 1016.394592, 19.540001, 23.409487, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:53.316, 66.000, 1016.414490, 19.540001, 23.409487, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:54.316, 67.000, 1016.402344, 19.530001, 23.409744, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:55.316, 68.000, 1016.390198, 19.520000, 23.410128, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:56.316, 69.000, 1016.373352, 19.510000, 23.410255, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:57.316, 70.000, 1016.366150, 19.500000, 23.410513, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:58.316, 71.000, 1016.370300, 19.490000, 23.410900, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:59.316, 72.000, 1016.377319, 19.480000, 23.411093, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:00.316, 73.000, 1016.399292, 19.469999, 23.411287, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:01.316, 74.000, 1016.393494, 19.459999, 23.411549, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:02.316, 75.000, 1016.392212, 19.459999, 23.411743, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:03.316, 76.000, 1016.396606, 19.450001, 23.412001, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:04.316, 77.000, 1016.396362, 19.440001, 23.412252, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:05.316, 78.000, 1016.390564, 19.420000, 23.412640, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:06.316, 79.000, 1016.403259, 19.410000, 23.412897, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:07.316, 80.000, 1016.382812, 19.400000, 23.413153, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:08.316, 81.000, 1016.387207, 19.389999, 23.413410, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:09.316, 82.000, 1016.411133, 19.389999, 23.413475, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:10.316, 83.000, 1016.396606, 19.379999, 23.413668, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:11.316, 84.000, 1016.427551, 19.370001, 23.413925, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:12.316, 85.000, 1016.394531, 19.360001, 23.414248, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:13.316, 86.000, 1016.401611, 19.340000, 23.414564, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:14.316, 87.000, 1016.395142, 19.330000, 23.414885, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:15.316, 88.000, 1016.372681, 19.320000, 23.415272, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:16.316, 89.000, 1016.381104, 19.299999, 23.415592, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:17.316, 90.000, 1016.394104, 19.299999, 23.415720, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:18.316, 91.000, 1016.397522, 19.290001, 23.416042, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:19.316, 92.000, 1016.399292, 19.270000, 23.416363, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:20.316, 93.000, 1016.403015, 19.270000, 23.416555, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:21.316, 94.000, 1016.426025, 19.260000, 23.416807, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:22.316, 95.000, 1016.406250, 19.240000, 23.417130, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:23.316, 96.000, 1016.403992, 19.230000, 23.417385, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:24.316, 97.000, 1016.388489, 19.219999, 23.417643, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:25.316, 98.000, 1016.417114, 19.219999, 23.417835, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:26.316, 99.000, 1016.422791, 19.209999, 23.417900, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:27.316, 100.000, 1016.414307, 19.200001, 23.418348, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:28.316, 101.000, 1016.425354, 19.180000, 23.418606, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:29.316, 102.000, 1016.434082, 19.170000, 23.418921, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:30.316, 103.000, 1016.436157, 19.160000, 23.419113, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:31.316, 104.000, 1016.438904, 19.150000, 23.419371, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:32.316, 105.000, 1016.421082, 19.150000, 23.419561, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:33.316, 106.000, 1016.431824, 19.129999, 23.419947, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:34.316, 107.000, 1016.425964, 19.120001, 23.420332, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:35.316, 108.000, 1016.395813, 19.110001, 23.420460, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:36.316, 109.000, 1016.406311, 19.090000, 23.420973, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:37.316, 110.000, 1016.401001, 19.090000, 23.421101, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:38.316, 111.000, 1016.395508, 19.070000, 23.421480, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:39.316, 112.000, 1016.420776, 19.059999, 23.421673, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:40.316, 113.000, 1016.421814, 19.049999, 23.421928, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:41.316, 114.000, 1016.417297, 19.049999, 23.422121, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:42.316, 115.000, 1016.424316, 19.040001, 23.422312, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:43.316, 116.000, 1016.425415, 19.030001, 23.422569, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:44.316, 117.000, 1016.428101, 19.020000, 23.422825, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:45.316, 118.000, 1016.392212, 19.000000, 23.423336, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:46.316, 119.000, 1016.418152, 18.980000, 23.423716, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:47.316, 120.000, 1016.405273, 18.969999, 23.423908, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:48.316, 121.000, 1016.409668, 18.959999, 23.424164, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:49.316, 122.000, 1016.405090, 18.959999, 23.424355, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:50.316, 123.000, 1016.406189, 18.950001, 23.424610, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:51.316, 124.000, 1016.424500, 18.930000, 23.424931, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:52.316, 125.000, 1016.399780, 18.920000, 23.425251, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:53.316, 126.000, 1016.424011, 18.910000, 23.425507, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:54.316, 127.000, 1016.414795, 18.900000, 23.425694, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:55.316, 128.000, 1016.412292, 18.889999, 23.426077, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:56.316, 129.000, 1016.411011, 18.879999, 23.426268, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:57.316, 130.000, 1016.408752, 18.870001, 23.426523, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:58.316, 131.000, 1016.431396, 18.860001, 23.426779, 0.000000
-180.00000, -180.00000, 02/01/2023 21:00:59.316, 132.000, 1016.398376, 18.850000, 23.427097, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:00.316, 133.000, 1016.408386, 18.840000, 23.427418, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:01.316, 134.000, 1016.404785, 18.830000, 23.427546, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:02.316, 135.000, 1016.390686, 18.809999, 23.428051, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:03.316, 136.000, 1016.413879, 18.809999, 23.428051, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:04.316, 137.000, 1016.420593, 18.799999, 23.428370, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:05.316, 138.000, 1016.432556, 18.790001, 23.428560, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:06.316, 139.000, 1016.406555, 18.770000, 23.429071, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:07.316, 140.000, 1016.413269, 18.760000, 23.429390, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:08.316, 141.000, 1016.430908, 18.750000, 23.429646, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:09.316, 142.000, 1016.407166, 18.740000, 23.429901, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:10.316, 143.000, 1016.435303, 18.730000, 24.714371, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:11.316, 144.000, 1016.404663, 18.719999, 23.430405, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:12.316, 145.000, 1016.425537, 18.709999, 23.430660, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:13.316, 146.000, 1016.397827, 18.690001, 23.431170, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:14.316, 147.000, 1016.413147, 18.680000, 23.431360, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:15.316, 148.000, 1016.422546, 18.670000, 23.431616, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:16.316, 149.000, 1016.430176, 18.660000, 24.716003, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:17.316, 150.000, 1016.411377, 18.650000, 24.716228, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:18.316, 151.000, 1016.420410, 18.639999, 24.716393, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:19.316, 152.000, 1016.425415, 18.629999, 24.716673, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:20.316, 153.000, 1016.407043, 18.610001, 24.717068, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:21.316, 154.000, 1016.414001, 18.600000, 24.717236, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:22.316, 155.000, 1016.420044, 18.590000, 24.717461, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:23.316, 156.000, 1016.415466, 18.580000, 24.717628, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:24.316, 157.000, 1016.420166, 18.580000, 24.717741, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:25.316, 158.000, 1016.438477, 18.570000, 24.718023, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:26.316, 159.000, 1016.431885, 18.549999, 24.718304, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:27.316, 160.000, 1016.426025, 18.540001, 24.718641, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:28.316, 161.000, 1016.412476, 18.530001, 24.718752, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:29.316, 162.000, 1016.432434, 18.520000, 24.719034, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:30.316, 163.000, 1016.410950, 18.510000, 24.719315, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:31.316, 164.000, 1016.408020, 18.500000, 24.719482, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:32.316, 165.000, 1016.391846, 18.490000, 24.719650, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:33.316, 166.000, 1016.410156, 18.480000, 24.719931, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:34.316, 167.000, 1016.408936, 18.469999, 24.720207, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:35.316, 168.000, 1016.432495, 18.459999, 24.720375, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:36.316, 169.000, 1016.425537, 18.459999, 24.720488, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:37.316, 170.000, 1016.399536, 18.430000, 24.720936, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:38.316, 171.000, 1016.409119, 18.430000, 24.721048, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:39.316, 172.000, 1016.420166, 18.420000, 24.721273, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:40.316, 173.000, 1016.419556, 18.410000, 24.721497, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:41.316, 174.000, 1016.380554, 18.389999, 24.721832, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:42.316, 175.000, 1016.402466, 18.389999, 24.722000, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:43.316, 176.000, 1016.407166, 18.379999, 24.722221, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:44.316, 177.000, 1016.405151, 18.370001, 24.722332, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:45.316, 178.000, 1016.401978, 18.360001, 24.722612, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:46.316, 179.000, 1016.387756, 18.340000, 24.722948, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:47.316, 180.000, 1016.399475, 18.330000, 24.723228, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:48.316, 181.000, 1016.408081, 18.320000, 24.723396, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:49.316, 182.000, 1016.403198, 18.309999, 24.723677, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:50.316, 183.000, 1016.396301, 18.309999, 24.723787, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:51.316, 184.000, 1016.383423, 18.299999, 24.723955, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:52.316, 185.000, 1016.286377, 18.290001, 24.724119, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:53.316, 186.000, 1016.261353, 18.270000, 24.724510, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:54.316, 187.000, 1016.244873, 18.260000, 24.724791, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:55.316, 188.000, 1016.240967, 18.250000, 24.725014, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:56.316, 189.000, 1016.237976, 18.240000, 24.725182, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:57.316, 190.000, 1016.260559, 18.230000, 24.725405, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:58.316, 191.000, 1016.247375, 18.219999, 24.725685, 0.000000
-180.00000, -180.00000, 02/01/2023 21:01:59.316, 192.000, 1016.242432, 18.209999, 24.725964, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:00.316, 193.000, 1016.234863, 18.200001, 24.726128, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:01.316, 194.000, 1016.225647, 18.180000, 24.726461, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:02.316, 195.000, 1016.212830, 18.180000, 24.726629, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:03.316, 196.000, 1016.252258, 18.170000, 24.726742, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:04.316, 197.000, 1016.218262, 18.160000, 24.727076, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:05.316, 198.000, 1016.232178, 18.150000, 24.727131, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:06.316, 199.000, 1016.256348, 18.139999, 24.727354, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:07.316, 200.000, 1016.271301, 18.129999, 24.727634, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:08.316, 201.000, 1016.251831, 18.120001, 24.727800, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:09.316, 202.000, 1016.262817, 18.110001, 24.728132, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:10.316, 203.000, 1016.253967, 18.100000, 24.728355, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:11.316, 204.000, 1016.252319, 18.090000, 24.728634, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:12.316, 205.000, 1016.252686, 18.080000, 24.728800, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:13.316, 206.000, 1016.242798, 18.070000, 24.729078, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:14.316, 207.000, 1016.211121, 18.049999, 24.729469, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:15.316, 208.000, 1016.218811, 18.040001, 24.729692, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:16.316, 209.000, 1016.242371, 18.030001, 24.729858, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:17.316, 210.000, 1016.234070, 18.030001, 24.729858, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:18.316, 211.000, 1016.237793, 18.020000, 24.730133, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:19.316, 212.000, 1016.257019, 18.010000, 24.730356, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:20.316, 213.000, 1016.225586, 17.990000, 24.730635, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:21.316, 214.000, 1016.259033, 17.990000, 24.730801, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:22.316, 215.000, 1016.288574, 17.980000, 24.730913, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:23.316, 216.000, 1016.261841, 17.959999, 24.731302, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:24.316, 217.000, 1016.246948, 17.950001, 24.731581, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:25.316, 218.000, 1016.282349, 17.959999, 26.012976, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:26.316, 219.000, 1016.255615, 17.940001, 26.013313, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:27.316, 220.000, 1016.256042, 17.930000, 27.294603, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:28.316, 221.000, 1016.266602, 17.930000, 27.294645, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:29.316, 222.000, 1016.256714, 17.920000, 27.294849, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:30.316, 223.000, 1016.238586, 17.900000, 27.295052, 1.824000
-180.00000, -180.00000, 02/01/2023 21:02:31.316, 224.000, 1016.254150, 17.889999, 27.295298, 1.824000
-180.00000, -180.00000, 02/01/2023 21:02:32.316, 225.000, 1016.253601, 17.879999, 27.295460, 1.824000
-180.00000, -180.00000, 02/01/2023 21:02:33.316, 226.000, 1016.246338, 17.870001, 27.295622, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:34.316, 227.000, 1016.260925, 17.860001, 26.014851, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:35.316, 228.000, 1016.300049, 17.850000, 26.015137, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:36.316, 229.000, 1016.310974, 17.840000, 26.015329, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:37.316, 230.000, 1016.311707, 17.820000, 26.015617, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:38.316, 231.000, 1016.282959, 17.809999, 26.015810, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:39.316, 232.000, 1016.290955, 17.790001, 26.016146, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:40.316, 233.000, 1016.282043, 17.780001, 24.735237, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:41.316, 234.000, 1016.310242, 17.770000, 24.735516, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:42.316, 235.000, 1016.311951, 17.750000, 24.735899, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:43.316, 236.000, 1016.316223, 17.740000, 24.736120, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:44.316, 237.000, 1016.298767, 17.740000, 24.736176, 0.000000
-180.00000, -180.00000, 02/01/2023 21:02:45.316, 238.000, 1016.329529, 17.730000, 24.736397, 0.000000
